;lexeme;ai1P;ai1S;ai2P;ai2S;ai3P;ai3S;fi1P;fi1S;fi2P;fi2S;fi3P;fi3S;ii1P;ii1S;ii2P;ii2S;ii3P;ii3S;inf;is1P;is1S;is2P;is2S;is3P;is3S;pI1P;pI2P;pI2S;pP;pc1P;pc1S;pc2P;pc2S;pc3P;pc3S;pi1P;pi1S;pi2P;pi2S;pi3P;pi3S;ppMP;ps1P;ps1S;ps2P;ps2S;ps3P;ps3S
1854;grésiller;;;;;;;;;;;;;;;;;grEzijE;grEzijE;grEzije;;;;;;;;;;grEzijâ;;;;;;;;;;;;grEzij;;;;;;;
1855;grêler;;;;;;;;;;;;;;;;;;grElE;grEle;;;;;;;;;;;;;;;;;;;;;;grEl;;;;;;;
1856;guerroyer;;;;;;;;;;;;;;;;;;gErwajE;gErwaje;;;;;;;;;;gErwajâ;;;;;;;;;;;;;;;;;;;
1857;guetter;;gEtE;;;;gEta;;gEt6rE;;;;;gEtjô;gEtE;;gEtE;gEtE;gEtE;gEte;;;;;;;;;gEt;gEtâ;;;;;;;;gEt;;;gEt;gEt;;;;;;;
1858;gueuler;;;;;;g6la;;;;;;;;g6lE;;g6lE;g6lE;g6lE;g6le;;;;;;;;;g9l;g6lâ;;;;g6l6rE;;;;g9l;;g9l;g9l;g9l;;;;;;;
1859;guider;;;;;;gida;;;gid6re;;;gid6ra;;gidE;;;gidE;gidE;gide;;;;;;;;;gid;gidâ;;;;;;;gidô;gid;gide;;gid;gid;;;;;;;gid
1860;guigner;;;;;;;;;;;;;;giJE;;;;;;;;;;;;;;;;;;;;;;;;;;;giJ;;;;;;;
1861;guillotiner;;;;;;;;;;;;;;;;;;gijOtinE;gijOtine;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1862;guinder;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;gêd;;;;;;;
1863;guérir;;;;;;gEri;gErirô;gErirE;gErire;gErira;gErirô;gErira;;;gErisje;;;gErisE;gErir;;;;;;;;gErise;gEri;;;;;;;gErirE;;gEri;gErise;gEri;gEris;gEri;;;gEris;;;;gEris
1864;gâcher;;;;;;;;gaS6rE;;;;;;;;gaSE;gaSE;gaSE;gaSe;;;;;;gaSa;gaSô;gaSe;gaS;gaSâ;;gaS6rE;;;;gaS6rE;gaSô;gaS;gaSe;gaS;gaS;gaS;;;;;;;gaS
1865;gâter;;;;;;;;;;;;;;;;;;gatE;gate;;;;;;;;gate;gat;;;;;;;;;gat;;gat;;gat;;;;;;;
1866;gémir;;;;;;ZEmi;;;;;;;;;;;ZEmisE;ZEmisE;ZEmir;;;;;;;;;ZEmi;ZEmisâ;;;;;;;;ZEmi;;ZEmi;ZEmis;ZEmi;;;;;;;
1867;généraliser;;;;;;;;;;;;;;;;;;;ZEnEralize;;;;;;;;;;;;;;;;;;ZEnEraliz;;;;ZEnEraliz;;;;;;;
1868;générer;;;;;;;;;;;;;;;;;;;ZEnEre;;;;;;;;;ZEnEr;;;;;;;;;;;;;ZEnEr;;;;;;;
1869;gérer;;;;;;;;;;;;;;;;;;;ZEre;;;;;;;;ZEre;ZEr;ZErâ;;;;;;;;ZEr;ZEre;;;ZEr;;;;;;;
1870;gésir;;;;;;;;;;;;;;;;;ZizE;ZizE;;;;;;;;;;;Zizâ;;;;;;;;Zi;;;Ziz;Zi;;;;;;;
1871;gêner;;;;;;;;;;;;ZEn6ra;;ZEnE;;ZEnE;ZEnE;ZEnE;ZEne;;;;;;;;ZEne;ZEn;ZEnâ;;ZEn6rE;;ZEn6rE;;ZEn6rE;ZEnô;ZEn;ZEne;ZEn;ZEn;ZEn;;;;;ZEn;;
1872;gîter;;;;;;;;;;;;;;;;;;ZitE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1873;habiller;abijam;abijE;;;;abija;;abij6rE;;abij6ra;;;abijô;;;abijE;abijE;abijE;abije;;;;;;;abijô;abije;abij;abijâ;;abij6rE;;;;;;abij;abije;abij;abij;abij;;;abij;;;;
1874;habiter;;;;;;abita;abit6rô;abit6rE;abit6re;abit6ra;;abit6ra;abitjô;abitE;abitje;abitE;abitE;abitE;abite;;;;;;;abitô;abite;abit;abitâ;;abit6rE;;abit6rE;;abit6rE;abitô;abit;abite;abit;abit;abit;;;;;;;abit
1875;habituer;;;;;;abitya;;abityrE;;abityra;;;;;;;abityE;abityE;abitye;;;;;;abitya;;abitye;abity;;;abityrE;;;;abityrE;;abity;;abity;abity;abity;;;;;abity;;abity
1876;hacher;;;;;;aSa;;;;;;;;;;;;aSE;aSe;;;;;;;;aSe;aS;;;;;;;;;;aSe;;;aS;;;;;;;
1877;haler;;;;;;;;;;;;;;;;;;alE;ale;;;;;;;;;;alâ;;;;;;;;;;;al;;;;;;;;
1878;haleter;;;;;;;;;;;;;;al6tE;;;;al6tE;al6te;;;;;;;;;alEt;al6tâ;;;;;;;;alEt;;;alEt;alEt;;;;;;;
1879;halluciner;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;alysin;;;;alysin;;;;;;;
1880;handicaper;;;;;;;;;;;;;;;;;;;âdikape;;;;;;;;;âdikap;;;;;;;;;;;;;;;;;;;;
1881;hanter;;;;;;âta;;;;;;;;;;;âtE;âtE;âte;;;;;;;;;ât;;;;;;;;;ât;;;ât;ât;;;;;;;
1882;happer;;apE;;;;apa;;;;;;;;;;;;apE;;;;;;;;;;ap;;;;;;;;;;;;;ap;;;;;;;
1883;haranguer;;;;;;;;;;;;;;;;;;;arâge;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1884;harasser;;;;;;;;;;;;;;;;;;;arase;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1885;harceler;;;;;;;;;;;;;;;;;;;ars6le;;;;;;;;ars6le;;ars6lâ;;;;;;;;;ars6le;;;;;;;;;;
1886;harmoniser;;;;;;;;;;;;;;;;;;;armOnize;;;;;;;;;;;;;;;;;;;;;armOniz;;;;;;;;
1887;harnacher;;;;;;arnaSa;;;;;;;;;;;arnaSE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1888;harper;;;;;;;;;;;;;;;;;;;arpe;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1889;harponner;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;arpOn;;;;;;;
1890;hasarder;;;;;;azarda;;;;;;;;;;;;azardE;azarde;;;;;;;;;azard;azardâ;;;;;;;;azard;;;;azard;;;;;;;
1891;hausser;;OsE;;;OsEr;Osa;;;;;;;;;;;OsE;OsE;Ose;;;;;;Osa;;Ose;os;Osâ;;;;;;;;os;;os;os;os;;;;;;;
1892;haver;;;;;;;;;;;;;;;;;;;;;;;;;;;;av;;;;;;;;;av;;;;av;;;;;;;
1893;haïr;;ai;;ai;;ai;;airE;;;airô;;;aisE;aisje;aisE;aisE;aisE;air;;;;;;;;aise;E;aisâ;;airE;;airE;;;;E;aise;E;ais;E;;;;;ais;;ais
1894;hennir;;;;;;Eni;;;;;;;;;;;;;;;;;;;;;;;Enisâ;;;;;;;;;;;;Eni;;;;;;;
1895;herber;;;;;;;;;;;;;;;;;;;Erbe;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1896;herser;;;;;;;;;;;;;;;;;;;Erse;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1897;heurter;;9rtE;;;9rtEr;9rta;;;;;;9rt6ra;9rtjô;9rtE;;;9rtE;9rtE;9rte;;;;;;;;;9rt;9rtâ;;;;;;;9rtô;9rt;;;9rt;9rt;;;;;;;
1898;hisser;;isE;;;isEr;isa;;;;;;;;;;;;isE;ise;;;;;;;isô;ise;is;isâ;;;;;;;isô;is;ise;;;is;;;;;;;is
1899;hiverner;;;;;;;;;;;;;;;;;;;ivErne;;;;;;;;;;;;;;;;;ivErnô;;;;;;;;;;;;
1900;hocher;;;;;OSEr;OSa;;;;;;;;;;;;OSE;OSe;;;;;;;;OSe;OS;OSâ;;;;;;;;OS;;;OS;OS;;;;;;;
1901;homologuer;;;;;;;;;;;;;;;;;;;OmOlOge;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1902;honnir;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Oni;;;;;;;;;
1903;honorer;;;;;;;;OnOr6rE;;;;;;;;;OnOrE;OnOrE;OnOre;;;;;;;OnOrô;OnOre;OnOr;OnOrâ;;;;;;;OnOrô;OnOr;OnOre;OnOr;OnOr;OnOr;;;;;;;
1904;hoqueter;;;;;;Ok6ta;;;;;;;;;;;;Ok6tE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;OkEt
1905;horrifier;;;;;;Orifja;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Orifi;;;;;;;
1906;hospitaliser;;;;;;;;;;;;;;;;;;;Ospitalize;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1907;houspiller;;;;;;;;;;;;;;;;;;;uspije;;;;;;;;;;;;;;;;;;;;;;uspij;;;;;;;
1908;huer;;;;;;;;;;;;;;;;;;;;;;;;;;;ye;y;;;;;;;;;;;;;y;;;;;;;
1909;huiler;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Hil;;;;;;;
1910;hululer;;;;;;;;;;;;;;;;;;;ylyle;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1911;humaniser;;;;;;;;;;;;;;;;;;;ymanize;;;;;;;;;ymaniz;ymanizâ;;;;;;;;;;;;;;;;;;;
1912;humecter;;;;;;;;;;;;;;;;;ymEktE;ymEktE;ymEkte;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1913;humer;;;;;ymEr;yma;;;;;;;;;;;ymE;ymE;yme;;;;;;;;yme;ym;ymâ;;;;;;;ymô;;;;;ym;;;;;;;
1914;humilier;;;;;;;;;;;;;;;;;;ymiljE;ymilje;;;;;;;;;ymili;ymiljâ;;;;;;;;ymili;;ymili;;ymili;;;;;;;
1915;hurler;;yrlE;;;yrlEr;yrla;;;;;;;;;;yrlE;yrlE;yrlE;yrle;;;;;;;;yrle;yrl;yrlâ;;;;;;;;yrl;yrle;yrl;yrl;yrl;;;;;;;
1916;hydrater;;;;;;;;;;;;;;;;;;;;;;;;;;;idrate;;;;;;;;;;;;;;;;;;;;;
1917;hypertrophier;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ipErtrOfi;;;;;;;
1918;hypnotiser;;;;;;;;;;;;;;;;;;;ipnOtize;;;;;;;;;;ipnOtizâ;;;;;;;;ipnOtiz;;;ipnOtiz;ipnOtiz;;;;;;;
1919;hypothéquer;;;;;;;;;;;;;;;;;;;;;;;;;;;;ipOtEk;;;;;;;;;;;;;;;;;;;;
1920;hâter;;atE;;;atEr;ata;;;;;;;;;;;atE;atE;ate;;;;;;;;ate;at;atâ;;;;;;;atô;at;ate;;;at;;;;;;;
1921;héberger;;;;;;EbErZa;;;;;;;;;;;;;EbErZe;;;;;;;;;EbErZ;EbErZâ;;;;;;;;EbErZ;;;EbErZ;EbErZ;;;;;;;
1922;hébéter;;;;;;EbEta;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1923;héler;;;;Ela;;Ela;;;;;;;;;;;;;Ele;;;;;;;;;El;Elâ;;;;;;;;El;;;;El;;;;;;;
1924;hérisser;;;;;ErisEr;;;;;;;;;;;;ErisE;ErisE;Erise;;;;;;;Erisô;;;Erisâ;;;;;;;;Eris;;;;Eris;;;;;;;
1925;hériter;;;;;;Erita;;;;Erit6ra;;Erit6ra;;;;EritE;;;Erite;;;;;;;;Erite;Erit;;;;;;;Erit6rE;;Erit;Erite;Erit;Erit;Erit;;;;;;;
1926;hésiter;;EzitE;;;EzitEr;Ezita;;Ezit6rE;Ezit6re;;;Ezit6ra;;EzitE;;EzitE;EzitE;EzitE;Ezite;;;;;;;;Ezite;Ezit;Ezitâ;;Ezit6rE;;;Ezit6rE;Ezit6rE;Ezitô;Ezit;Ezite;Ezit;Ezit;Ezit;;;;;;;
1927;identifier;;idâtifjE;;;;idâtifja;;;;;;idâtifira;;idâtifjE;;idâtifjE;idâtifjE;idâtifjE;idâtifje;;;;;idâtifjas;;idâtifjô;idâtifje;idâtifi;;;idâtifirE;;;;;;idâtifi;idâtifje;;idâtifi;idâtifi;;;idâtifi;;;;idâtifi
1928;idolâtrer;;;;;;;;;;;;;;;;;;idOlatrE;;;;;;;;;;;idOlatrâ;;;;;;;;idOlatr;;;;;;;;;;;
1929;idéaliser;;;;;;;;;;;;;;;;;;;idEalize;;;;;;;;;idEaliz;;;;;;;;;;;;;;;;;;;;
1930;ignorer;;iJOrE;;;;iJOra;;iJOr6rE;;;;iJOr6ra;iJOrjô;iJOrE;iJOrje;iJOrE;iJOrE;iJOrE;iJOre;;;;;;iJOra;iJOrô;iJOre;iJOr;iJOrâ;;;iJOr6rje;;;;iJOrô;iJOr;iJOre;iJOr;iJOr;iJOr;;;;iJOrje;iJOr;;iJOr
1931;illuminer;;;;;ilyminEr;ilymina;;;;;;;;;;;ilyminE;ilyminE;ilymine;;;;;;;;;;ilyminâ;;;;;;;;ilymin;;;ilymin;ilymin;;;;;;;
1932;illusionner;;;;;;;;;;;;;;;;;;;;;;;;;;;ilyzjOne;;;;;;;;;;;ilyzjOne;;;;;;;;;;
1933;illustrer;;;;;;ilystra;;;;;;ilystr6ra;;;;;ilystrE;ilystrE;ilystre;;;;;;;;;ilystr;ilystrâ;;;;;;;;ilystr;;;ilystr;ilystr;;;;;;;
1934;imager;;;;;;;;;;;;;;;;;;;imaZe;;;;;;;;;;;;;;;;;;;;;;imaZ;;;;;;;
1935;imaginer;;imaZinE;;;;imaZina;;;;;;;imaZinjô;imaZinE;imaZinje;imaZinE;imaZinE;imaZinE;imaZine;;;;;;;imaZinô;imaZine;imaZin;imaZinâ;;imaZin6rE;imaZin6rje;;imaZin6rE;imaZin6rE;imaZinô;imaZin;imaZine;imaZin;imaZin;imaZin;;;imaZin;imaZinje;imaZin;;imaZin
1936;imbiber;;;;;;;;;;;;;;;;;;;êbibe;;;;;;;;;;;;;;;;;;;;;;êbib;;;;;;;
1937;imbriquer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;êbrik;;;;;;;;
1938;imiter;;;;;imitEr;imita;;;;;;;;imitE;;imitE;imitE;imitE;imite;;;;;;imita;imitô;imite;imit;imitâ;;;;;;;imitô;imit;;imit;imit;imit;;;;;;;
1939;immerger;;;;;;;;;;;;;;;;;;;imErZe;;;;;;;;;;;;;;;;;;imErZ;;;;imErZ;;;;;;;
1940;immigrer;;;;;;;;;;;;;;;;;;;imigre;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1941;immiscer;;;;;;;;;;;;;;;;;imisE;;imise;;;;;;;;;;;;;;;;imis6rE;;;;;;;;;;;;;
1942;immobiliser;;;;;imObilizEr;imObiliza;;;;;;;;;;;imObilizE;imObilizE;imObilize;;;;;;;;;imObiliz;imObilizâ;;;;;;;imObilizô;imObiliz;;;imObiliz;imObiliz;;;;;;;imObiliz
1943;immoler;;;;;;;;;;;;;;;;;;;imOle;;;;;;;;;;;;;;;;;;imOl;;;imOl;imOl;;;;;;;
1944;immortaliser;;;;;;imOrtaliza;;;;;;;;;;;;;;;;;;;;;;imOrtaliz;;;;;;;;;;;;;imOrtaliz;;;;;;;
1945;impatienter;;;;;;êpasjâta;;;;;;;;êpasjâtE;;;;êpasjâtE;;;;;;;;;;êpasjât;;;;;;;;;êpasjât;êpasjâte;;êpasjât;êpasjât;;;;;;;
1946;impatroniser;;;;;;;;;;;;;;;;;;êpatrOnizE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1947;implanter;;;;;;;;;;;;;;;;;;;êplâte;;;;;;;;;;;;;;;;;;;;;êplât;;;;;;;;
1948;impliquer;;;;;;;;;;;;;;;;;;êplikE;êplike;;;;;;êplika;;êplike;êplik;êplikâ;;;;;;êplik6rE;;êplik;;;;êplik;;;;;;;
1949;implorer;;;;;;êplOra;;;;;;;;êplOrE;;êplOrE;;êplOrE;êplOre;;;;;;;êplOrô;;êplOr;êplOrâ;;;;;;;êplOrô;êplOr;êplOre;;êplOr;êplOr;;;;;;;
1950;imploser;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;êploz;;;;;;;
1951;implémenter;;;;;;;;;;;;;;;;;;;êplEmâte;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1952;importer;;;;;;;;;;;;êpOrt6ra;;;;;êpOrtE;êpOrtE;êpOrte;;;;;;;;;êpOrt;êpOrtâ;;;;;;;;êpOrt;;;êpOrt;êpOrt;;;;;;;
1953;importuner;;;;;;;êpOrtyn6rô;;;;;;;;;;;êpOrtynE;êpOrtyne;;;;;;;;;êpOrtyn;;;;;;;;;;;;;êpOrtyn;;;;;;;
1954;imposer;;êpOzE;;;;êpOza;;;;;êpOz6rô;êpOz6ra;;êpOzE;;;êpOzE;êpOzE;êpOze;;;;;;êpOza;êpOzô;;êpoz;êpOzâ;;;;;;;;êpoz;;;êpoz;êpoz;;;êpoz;;;;
1955;impressionner;;;;;;êprEsjOna;;;;;;;;;;;;êprEsjOnE;êprEsjOne;;;;;;;;êprEsjOne;êprEsjOn;êprEsjOnâ;;;;;;;;êprEsjOn;êprEsjOne;êprEsjOn;êprEsjOn;êprEsjOn;;;;;;;
1956;imprimer;;;;;;êprima;êprim6rô;;;;;;;;;;êprimE;;êprime;;;;;;;;;êprim;êprimâ;;;;;;;;êprim;;;êprim;êprim;;;;;;;
1957;improviser;;;;;;êprOviza;;;;;;;êprOvizjô;;;;;êprOvizE;êprOvize;;;;;;;êprOvizô;êprOvize;êprOviz;êprOvizâ;;;;;;;;êprOviz;;;;êprOviz;;;;;;;
1958;imprégner;;;;;;;;;;;;;;;;;;êprEJE;êprEJe;;;;;;;;;êprEJ;êprEJâ;;;;;;;;êprEJ;;;;êprEJ;;;;;;;
1959;imputer;;;;;;;;;;;;;;;;;êpytE;;;;;;;;;;;;;;;;;;;;êpyt;;;;;;;;;;;
1960;inaugurer;;inOgyrE;;;;;;;;;;inOgyr6ra;inOgyrjô;;;;;inOgyrE;inOgyre;;;;;;;;;inOgyr;inOgyrâ;;;;;;;;;;;;inOgyr;;;;;;;
1961;incarner;;;;;;êkarna;;;;;;;;êkarnE;;;êkarnE;êkarnE;êkarne;;;;;;;;;êkarn;;;;;;;;;êkarn;êkarne;;êkarn;êkarn;;;;;;;
1962;incendier;;;;;;;;;;;;;;;;;;êsâdjE;êsâdje;;;;;;;;êsâdje;êsâdi;;;;;;;;;êsâdi;êsâdje;;êsâdi;êsâdi;;;;;;;
1963;incinérer;;;;;;;;;;;;;;;;;;êsinErE;êsinEre;;;;;;;;;;;;;;;;;;;;;;êsinEr;;;;;;;
1964;inciser;;;;;;;;;;;;;;;;;;êsizE;êsize;;;;;;;;;êsiz;êsizâ;;;;;;;;êsiz;;;;;;;;;;;
1965;inciter;;;;;êsitEr;êsita;;êsit6rE;;;;êsit6ra;;;;;;êsitE;êsite;;;;;;;;;êsit;êsitâ;;;;;êsit6rE;êsit6rE;;êsit;êsite;;êsit;êsit;;;;;;;
1966;incliner;;êklinE;;;êklinEr;êklina;;;;;;;;êklinE;;;êklinE;êklinE;êkline;;;;;;;êklinô;;êklin;êklinâ;;;;;êklin6rE;;;êklin;;;êklin;êklin;;;;;;;êklin
1967;inclure;;;;;;êkly;;;;;;;;;;;;êklyE;êklyr;;;;;;;;;êkly;êklyâ;;;;;;;;êkly;;êkly;;êkly;;;;;;;
1968;incomber;;;;;;;;;;;;;;;;;;êkôbE;;;;;;;;;;êkôb;;;;;;;;;êkôb;;;;êkôb;;;;;;;
1969;incommoder;;;;;;;;êkOmOd6rE;;;;;;;;;;;;;;;;;;;;êkOmOd;;;;;;;;;êkOmOd;;;;êkOmOd;;;;;;;
1970;incorporer;;;;;;;;;;;;;;;;;;;êkOrpOre;;;;;;;;;êkOrpOr;êkOrpOrâ;;;;;;;;êkOrpOr;;;;;;;;;;;
1971;incriminer;;;;;;;;;;;;;;;;;;;êkrimine;;;;;;;;;êkrimin;;;;;;;;;;;;êkrimin;;;;;;;;
1972;incruster;;;;;;;;;;;;;;êkrystE;;êkrystE;êkrystE;êkrystE;êkryste;;;;;;;;;êkryst;êkrystâ;;;;;;;;;;;êkryst;êkryst;;;;;;;
1973;inculper;;;;;;;;;;;;;;;;;;;êkylpe;;;;;;;êkylpô;êkylpe;;;;;;;;;;êkylp;;;;êkylp;;;;;;;
1974;inculquer;;;;;;;;;;;;;;;;;;êkylkE;êkylke;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1975;incurver;;;;;;;;;;;;;;;;;;êkyrvE;êkyrve;;;;;;;;;êkyrv;;;;;;;;;;;;;êkyrv;;;;;;;
1976;indifférer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;êdifEr;;;;êdifEr;;;;;;;
1977;indigner;;;;;;êdiJa;;;;;;êdiJ6ra;;;;;êdiJE;êdiJE;êdiJe;;;;;;;;;êdiJ;êdiJâ;;;;;;;;êdiJ;;;;êdiJ;;;;;;;êdiJ
1978;indiquer;;êdikE;;;êdikEr;êdika;;;;;;êdik6ra;;êdikE;;êdikE;êdikE;êdikE;êdike;;;;;;;;êdike;êdik;êdikâ;;;;;;;;êdik;êdike;;êdik;êdik;;;;;;;
1979;indisposer;;;;;;êdispOza;;;;;;;;;;;;êdispOzE;;;;;;;;;;;;;;;;;;;;;;êdispoz;;;;;;;;
1980;induire;;;;;;;;;;;;;;;;;;;êdHir;;;;;;;;;;;;;;;;;;;;;;êdHi;;;;;;;
1981;infecter;;;;;;;;;;;;;;;;;;êfEktE;;;;;;;;;;;;;;;;;;;êfEkt;;;;êfEkt;;;;;;;
1982;infiltrer;;;;;;;;;;;êfiltr6rô;;;;;;;êfiltrE;êfiltre;;;;;;;;;êfiltr;;;;;;;;;êfiltr;;;;êfiltr;;;;;;;
1983;infirmer;;;;;;;;;;;;;;;;;;êfirmE;;;;;;;;;;êfirm;;;;;;;;;;;;;êfirm;;;;;;;
1984;infliger;;;;;;;;;;;;;;;;;êfliZE;êfliZE;êfliZe;;;;;;;;êfliZe;êfliZ;êfliZâ;;;;;;;;êfliZ;êfliZe;;êfliZ;êfliZ;;;;;êfliZ;;êfliZ
1985;influencer;;;;;;;;;;;;êflyâs6ra;;;;;;;êflyâse;;;;;;;;;êflyâs;;;;;;;;;êflyâs;;;;êflyâs;;;;;;;
1986;influer;;;;;;;;;;;;;;;;;;;êflye;;;;;;;;;êfly;;;;;;;;;êfly;;;;êfly;;;;;;;
1987;infléchir;;;;;;êflESi;;;;;;;;;;;;;êflESir;;;;;;;;;;;;;;;;;;;;;;êflESi;;;;;;;
1988;informer;;;;;;êfOrma;;êfOrm6rE;;;;êfOrm6ra;;;;;;êfOrmE;êfOrme;;;;;;;êfOrmô;êfOrme;êfOrm;êfOrmâ;;;;;;;êfOrmô;êfOrm;êfOrme;;;êfOrm;;;;;;;êfOrm
1989;infuser;;;;;;;;;;;;;;;;;êfyzE;êfyzE;êfyze;;;;;;;;;êfyz;;;;;;;;;;;;;;;;;;;;
1990;ingurgiter;;;;;;;;;;;;;;;;;;;êgyrZite;;;;;;;;;êgyrZit;êgyrZitâ;;;;;;êgyrZit6rE;;êgyrZit;;;;;;;;;;;
1991;ingénier;;;;;;;;;;;;;;;;;êZEnjE;êZEnjE;;;;;;;;;;;êZEnjâ;;;;;;;;;;;;êZEni;;;;;;;
1992;ingérer;;;;;;;;;;;;;;;;;;;êZEre;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1993;inhiber;;;;;;;;;;;;;;;;;;;inibe;;;;;;;;;;;;;;;;;;;;;;inib;;;;;;;
1994;inhumer;;;;;;;;;;;;;;;;;inymE;;inyme;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1995;initier;;;;;;;;;;;;;;;;;inisjE;inisjE;inisje;;;;;;;;;inisi;;;;;;;;;inisi;inisje;;;inisi;;;;;;;
1996;injecter;;;;;;;;;;;;;;;;;;;êZEkte;;;;;;;;;êZEkt;;;;;;;;;êZEkt;;;;;;;;;;;
1997;injurier;;êZyrjE;;;;;;;;;;;;;;;;êZyrjE;êZyrje;;;;;;;;;êZyri;;;;;;;;;êZyri;;;;êZyri;;;;;;;
1998;innocenter;;;;;;;;;;;;;;;;;;;inOsâte;;;;;;;;;inOsât;;;;;;;;;inOsât;;;;inOsât;;;;;;;
1999;innover;;;;;;;;;;;;;;;;;;;inOve;;;;;;;;;inOv;;;;;;;;;;;;;inOv;;;;;;;
2000;inonder;;;;;;inôda;;;;;;;;;;;;inôdE;inôde;;;;;;;;;inôd;inôdâ;;;;;;;;inôd;;;inôd;inôd;;;;;;;
2001;inquiéter;;;;;;êkjEta;;êkjEt6rE;;;;;;êkjEtE;;êkjEtE;êkjEtE;êkjEtE;êkjEte;;;;;;;êkjEtô;êkjEte;êkjEt;êkjEtâ;;;;;;êkjEt6rE;êkjEtô;êkjEt;êkjEte;êkjEt;êkjEt;êkjEt;;;êkjEt;;êkjEt;;êkjEt
2002;inscrire;;êskrivi;;;;êskrivi;;;;;;;;;;;êskrivE;êskrivE;êskrir;;;;;;;êskrivô;êskrive;êskri;êskrivâ;;;;;;;;êskri;êskrive;êskri;êskriv;êskri;;;êskriv;;;;êskriv
2003;insinuer;;;;;;êsinya;;;;;;;;;;êsinyE;êsinyE;êsinyE;êsinye;;;;;;;;êsinye;êsiny;êsinyâ;;;;;;;;êsiny;êsinye;êsiny;êsiny;êsiny;;;;;;;
2004;insister;;êsistE;;;êsistEr;êsista;;êsist6rE;;;;êsist6ra;êsistjô;êsistE;;;êsistE;êsistE;êsiste;;;;;;;êsistô;êsiste;êsist;êsistâ;;;;;;;êsistô;êsist;êsiste;êsist;êsist;êsist;;;;;;;
2005;inspecter;;;;;;êspEkta;;;;;;;;;;;;êspEktE;êspEkte;;;;;;;;êspEkte;êspEkt;êspEktâ;;;;;;;êspEktô;êspEkt;;;;êspEkt;;;;;;;
2006;inspirer;;;;;êspirEr;êspira;;;;;;êspir6ra;;êspirE;;;êspirE;êspirE;êspire;;;;;;;;êspire;êspir;êspirâ;;;;;;;;êspir;êspire;êspir;êspir;êspir;;;;;;;êspir
2007;installer;êstalam;êstalE;;;êstalEr;êstala;êstal6rô;êstal6rE;;;êstal6rô;êstal6ra;êstaljô;;;êstalE;êstalE;êstalE;êstale;;;;;;;êstalô;êstale;êstal;êstalâ;;êstal6rE;;êstal6rE;;êstal6rE;êstalô;êstal;êstale;êstal;êstal;êstal;;;;;;;êstal
2008;instaurer;;;;;;;;;;;;;;;;;;êstOrE;êstOre;;;;;;;;;;;;;;;;;;êstOr;;;;;;;;;;;
2009;instiller;;;;;;êstila;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2010;instituer;;êstityE;;;;;;;;;;;;;;;;êstityE;êstitye;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2011;instruire;;;;;;;;;;;;;;;;;;êstrHizE;êstrHir;;;;;;;;êstrHize;êstrHi;;;;;;êstrHirE;êstrHirE;;;;êstrHi;;êstrHi;;;êstrHiz;;;;
2012;insuffler;;;;;;;;;;;;;;;;;;;êsyfle;;;;;;;;;;êsyflâ;;;;;;;;;;;;;;;;;;;
2013;insulter;;;;;;êsylta;;;;;;;;;;êsyltE;êsyltE;êsyltE;êsylte;;;;;;;;êsylte;êsylt;êsyltâ;;êsylt6rE;;;;;;êsylt;êsylte;êsylt;êsylt;êsylt;;;;;;êsylt;
2014;insupporter;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;êsypOrt;;;;;;;
