;lexeme;ai1P;ai1S;ai2P;ai2S;ai3P;ai3S;fi1P;fi1S;fi2P;fi2S;fi3P;fi3S;ii1P;ii1S;ii2P;ii2S;ii3P;ii3S;inf;is1P;is1S;is2S;is3P;is3S;pI1P;pI2P;pI2S;pP;pc1P;pc1S;pc2P;pc2S;pc3P;pc3S;pi1P;pi1S;pi2P;pi2S;pi3P;pi3S;ppFS;ps1P;ps1S;ps2P;ps2S;ps3P;ps3S
2410;paraphraser;;;;;;;;;;;;;;;;;;;parafraze;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2411;parasiter;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;parazit;;;parazit;;;;;;;;
2412;paraître;;;;;paryr;pary;;;;;parètrô;parètra;;parèsè;parèsje;;parèsè;parèsè;parEtr;;;;parys;pary;;parèse;parè;parèsâ;;;;;;parètrè;parèsô;parè;parèse;parè;parEs;parè;;;parEs;;;;parEs
2413;parcourir;parkurym;parkury;;;parkuryr;parkury;;parkurrè;;;;;parkurjô;parkurè;;;parkurè;parkurè;parkurir;;;;;;parkurô;;parkur;parkurâ;parkurrjô;;;;;parkurrè;;parkur;parkure;parkur;parkur;parkur;;;;;;;
2414;pardonner;;;;;pardònEr;pardòna;;pardòn6rè;;pardòn6ra;;pardòn6ra;;;;pardònè;;pardònè;pardòne;;;;;;pardònô;pardòne;pardòn;pardònâ;;pardòn6rè;;;;pardòn6rè;pardònô;pardòn;pardòne;pardòn;pardòn;pardòn;;;pardòn;;pardòn;;
2415;parer;;;;;;para;;;;;;;;parè;;parè;;parè;pare;;;;;;;pare;par;parâ;;;;;;;;par;pare;;par;par;;;;;;;
2416;paresser;;;;;;;;;;;;;;;;;;;parèse;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2417;parfaire;;;;;;;;;;;;;;;;;;;parfEr;;;;;;;;;;;;;;;;;;;;;parfè;;;;;;;
2418;parfumer;;;;;;;;;;;;;;;;;;parfymè;parfyme;;;;;;;;parfym;;;;;;;;;parfym;;;parfym;parfym;;;;;;;
2419;parier;;;;;;parja;;;;;;;;parjè;;;;parjè;parje;;;;;;parjô;parje;pari;parjâ;;parirè;;parirè;;;parjô;pari;parje;pari;;pari;;;pari;;;;
2420;parlementer;;;;;;;;;;;;;;;;;;;parl6mâte;;;;;;;;;;;;;;;;;parl6mât;;;;parl6mât;;;;;;;
2421;parler;parlam;parlè;;;parlEr;parla;parl6rô;parl6rè;parl6re;parl6ra;parl6rô;parl6ra;parljô;parlè;parlje;parlè;parlè;parlè;parle;;;;parlas;parla;parlô;parle;parl;parlâ;parl6rjô;parl6rè;;parl6rè;parl6rè;parl6rè;parlô;parl;parle;parl;parl;parl;;;parl;parlje;parl;parl;parl
2422;parodier;;;;;;;;;;;;;;;;;;paròdjè;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2423;parquer;;;;;;;;;;;;;;;;;;parkè;parke;;;;;;;;;;;;;;;;;;;;;park;;;;;;;
2424;parrainer;;;;;;;;;;;;;;;;;;parènè;parène;;;;;;;;;;;;;;;;;;;;;parEn;;;;;;;
2425;parsemer;;;;;;;;;;;;;;;;;pars6mè;;;;;;;;;;;;;;;;;;;;;;parsEm;;;;;;;;
2426;partager;;;;;partaZEr;partaZa;partaZ6rô;;;;;partaZ6ra;partaZjô;partaZè;;partaZè;partaZè;partaZè;partaZe;;;;;partaZa;partaZô;partaZe;partaZ;partaZâ;;partaZ6rè;;partaZ6rè;partaZ6rè;partaZ6rè;partaZô;partaZ;partaZe;partaZ;partaZ;partaZ;;;partaZ;;;;
2427;participer;;;;;partisipEr;partisipa;;partisip6rè;;partisip6ra;partisip6rô;partisip6ra;;partisipè;;partisipè;partisipè;partisipè;partisipe;;;;;;partisipô;partisipe;partisip;partisipâ;;partisip6rè;;;;;partisipô;partisip;partisipe;partisip;partisip;partisip;;;;;;;
2428;partir;partim;parti;;parti;partir;parti;partirô;partirè;partire;partira;partirô;partira;partjô;partè;partje;partè;partè;partè;partir;;;;;parti;partô;parte;par;partâ;;partirè;partirje;partirè;partirè;partirè;partô;par;parte;par;part;par;;;part;partje;part;;part
2429;parvenir;;parvê;;;parvêr;parvê;;parvjêdrè;parvjêdre;parvjêdra;parvjêdrô;parvjêdra;;parv6nè;;;parv6nè;parv6nè;parv6nir;;;;;parvê;parv6nô;;parvjê;parv6nâ;;parvjêdrè;;;parvjêdrè;parvjêdrè;parv6nô;parvjê;parv6ne;parvjê;parvjEn;parvjê;;;parvjEn;;;;parvjEn
2430;passer;pasam;pasè;pasat;pasa;pasEr;pasa;pas6rô;pas6rè;pas6re;pas6ra;pas6rô;pas6ra;pasjô;pasè;pasje;pasè;pasè;pasè;pase;;;;;pasa;pasô;pase;pas;pasâ;;pas6rè;pas6rje;pas6rè;pas6rè;pas6rè;pasô;pas;pase;pas;pas;pas;;pasjô;pas;pasje;pas;pas;pas
2431;passionner;;;;;;;;;;;;;;pasjònè;;pasjònè;pasjònè;pasjònè;pasjòne;;;;;;;;pasjòn;pasjònâ;;;;;;;;pasjòn;;;pasjòn;pasjòn;;;;;;;
2432;passiver;;;;;;;;;;;;;;;;;;;;;;;;;;;pasiv;;;;;;;;;;;;;pasiv;;;;;;;
2433;pasteuriser;;;;;;;;;;;;;;;;;;;past6rize;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2434;pasticher;;;;;;;;;;;;;;;;;;;pastiSe;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2435;patauger;;;;;;;;;;;;patòZ6ra;;;;;;;patòZe;;;;;;patòZô;patòZe;;patòZâ;;;;;;;;patoZ;;;patoZ;patoZ;;;;;;;
2436;patienter;;;;;;;;;pasjât6re;;;;;;;;;pasjâtè;pasjâte;;;;;;pasjâtô;pasjâte;pasjât;;;;;;;;pasjâtô;pasjât;pasjâte;;;pasjât;;;;;;;pasjât
2437;patiner;;;;;;;;;;;;;;;;;;;patine;;;;;;;patine;;patinâ;;;;;;;;patin;patine;;;patin;;;;;;;
2438;patrouiller;;;;;;patruja;;;;;;;;;;;patrujè;patrujè;;;;;;;;;patruj;patrujâ;;;;;;;;;;;;patruj;;;;;;;
2439;paumer;;;;;;;;;;;;;;;;;;;pòme;;;;;;;;pom;pòmâ;;;;;;;;pom;;pom;;pom;;;;;;;
2440;pavaner;;;;;;;;;pavan6re;;;;;;;;;pavanè;pavane;;;;;;;;pavan;pavanâ;;;;;;;;pavan;;;pavan;pavan;;;;;;;
2441;paver;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;pav;;;;pav;;;;;;;
2442;pavoiser;;;;;;;;;;;;;;;;;;;pavwaze;;;;;;;;;;;;;;;;;;;;pavwaz;;;;;;;;
2443;payer;;;;;pèjEr;pèja;pèrô,pèj6rô;pèrè,pèj6rè;père,pèj6re;pèra,pèj6ra;pèrô;pèra,pèj6ra;;pèjè;pèje;pèjè;pèjè;pèjè;pèje;;;;;pèja;pèjô;pèje;pè,pEj;pèjâ;;pèrè,pèj6rè;;pèrè;pèrè;pèrè;pèjô;pè,pEj;pèje;pè,pEj;pè,pEj;pè,pEj;;;pè,pEj;;pEj;;pè,pEj
2444;paître;;;;;;;;;;;;;;;;;pèsè;;pEtr;;;;;;;;pè;;;;;;;;;pè;;;;pè;;;;;;;
2445;peaufiner;;;;;;;;;;;;;;;;;;;pòfine;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2446;peigner;;;;;;pèJa;;;;;;;pèJô;;;pèJè;;;pèJe;;;;;;;;pEJ;;;;;;;;;pEJ;pèJe;;;pEJ;;;;;;;
2447;peindre;;pèJi;;;;pèJi;;pêdrè;;;;pêdra;;pèJè;;;pèJè;pèJè;pêdr;;;;;;;pèJe;pê;pèJâ;;;;pêdrè;;pêdrè;pèJô;pê;pèJe;pê;;pê;;;;;;pEJ;
2448;peiner;;;;;;;;;;;;pèn6ra;;;;;pènè;pènè;pène;;;;;;;pène;;pènâ;;;;;;;;pEn;;pEn;pEn;pEn;;;;;;;
2449;peinturlurer;;;;;;;;;;;;;;;;;;;pêtyrlyre;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2450;peler;;;;;;;;;;;;;;;;;;p6lè;p6le;;;;;;;;pEl;;;;;;;;;pEl;;;pEl;pEl;;;;;;;
2451;peloter;;;;;;;;;;;;;;;;;;p6lòtè;p6lòte;;;;;;;;p6lOt;p6lòtâ;;;;;;;;p6lOt;;;;p6lOt;;;;;;;
2452;pelotonner;;;;;;;;;;;;;;;;;p6lòtònè;;p6lòtòne;;;;;;;;;;;;;;;;;p6lòtòn;;;;;;;;;;;
2453;pencher;;pâSè;;;pâSEr;pâSa;;;;;;;pâSjô;pâSè;;pâSè;;pâSè;pâSe;;;;;;;pâSe;pâS;pâSâ;;;;;;pâS6rè;pâSô;pâS;pâSe;;pâS;pâS;;;;;;;
2454;pendouiller;;;;;;;;;;;;;;;;;;;;;;;;;;;;pâdujâ;;;;;;;;pâduj;;;pâduj;pâduj;;;;;;;
2455;pendre;;;;;;pâdi;;;;;pâdrô;pâdra;;;;;pâdè;pâdè;pâdr;;;;;;;pâde;pâ;pâdâ;;;;pâdrè;;;pâdô;;;pâ;pâd;pâ;;;pâd;;;;pâd
2456;penser;;pâsè;;;pâsEr;pâsa;pâs6rô;pâs6rè;pâs6re;pâs6ra;pâs6rô;pâs6ra;pâsjô;pâsè;pâsje;pâsè;pâsè;pâsè;pâse;;;;;pâsa;pâsô;pâse;pâs;pâsâ;pâs6rjô;pâs6rè;;pâs6rè;pâs6rè;pâs6rè;pâsô;pâs;pâse;pâs;pâs;pâs;;;pâs;pâsje;pâs;;pâs
2457;percer;;;;;pErsEr;;;pErs6rè;;;;pErs6ra;pErsjô;;;;pErsè;pErsè;pErse;;;;;;;;pErs;pErsâ;;;;;;pErs6rè;;pErs;;;pErs;pErs;;;;;;;
2458;percevoir;;pErsy;;;;pErsy;;;;;;pErs6vra;;pErs6vè;;pErs6vè;pErs6vè;pErs6vè;pErs6vwar;;;;;pErsy;;;pErswa;;;;;;;pErs6vrè;;pErswa;pErs6ve;pErswa;pErswav;pErswa;;;pErswav;;;;pErswav
2459;percher;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;pErS;;;;;;;;
2460;percuter;;;;;;pErkyta;;;;;;;;;;;;;pErkyte;;;;;;;;;;;;;;;;;;;;;pErkyt;;;;;;;
2461;perdre;;pErdi;;;pErdir;pErdi;pErdrô;pErdrè;pErdre;pErdra;pErdrô;pErdra;pErdjô;pErdè;pErdje;pErdè;pErdè;pErdè;pErdr;;;pErdis;;pErdi;pErdô;pErde;pEr;pErdâ;pErdriô;pErdrè;pErdrie;pErdrè;pErdrè;pErdrè;pErdô;pEr;pErde;pEr;pErd;pEr;;;pErd;;;;pErd
2462;perfectionner;;;;;;;;;;;;;;pErfEksjònè;;;;;pErfEksjòne;;;;;;;;;pErfEksjònâ;;;;;;;;pErfEksjòn;;;;pErfEksjòn;;;;;;;
2463;perforer;;;;;;;;;;;;;pErfòrjô;;;;;;pErfòre;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2464;perler;;;;;;;;;;;;;;;;;pErlè;pErlè;pErle;;;;;;;;;pErlâ;;;;;;;;;;;pErl;pErl;;;;;;;
2465;permettre;;pErmi;;;pErmir;pErmi;pErmètrô;pErmètrè;pErmètre;;pErmètrô;pErmètra;;pErmètè;pErmètje;pErmètè;pErmètè;pErmètè;pErmEtr;;;;;pErmi;pErmètô;pErmète;pErmè;pErmètâ;;pErmètrè;;pErmètrè;pErmètrè;pErmètrè;;pErmè;pErmète;pErmè;pErmEt;pErmè;;;pErmEt;;;;pErmEt
2466;permuter;;;;;;;;;;;;;;;;;;;pErmyte;;;;;;;;;;;;;;;;;pErmyt;;;;;;;;;;;
2467;perpétrer;;;;;;;;;;;;;;;;;;;pErpètre;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2468;perpétuer;;;;;;;;;;;;;;;;;pErpètyè;pErpètyè;pErpètye;;;;;;;;;;;;;;;;;pErpèty;;;;pErpèty;;;;;;;
2469;perquisitionner;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;pErkizisjòn;;;;;;;
2470;persifler;;;;;;pErsifla;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2471;persister;;;;;pErsistEr;;;;;;;;pErsistjô;;;;pErsistè;pErsistè;pErsiste;;;;;;;;pErsist;pErsistâ;;;;;;;pErsistô;pErsist;pErsiste;pErsist;pErsist;pErsist;;;;;;;
2472;personnaliser;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;pErsònaliz;;;;;;;
2473;persuader;;pErsyadè;;;pErsyadEr;pErsyada;;pErsyad6rè;;;;;;pErsyadè;;;;pErsyadè;pErsyade;;;;;;;;pErsyad;pErsyadâ;;;;;;;;pErsyad;pErsyade;;;pErsyad;;;;;;;
2474;persécuter;;;;;;;;;;;;;;;;;;;pErsèkyte;;;;;;;;pErsèkyt;pErsèkytâ;;;;;;;;pErsèkyt;;;pErsèkyt;pErsèkyt;;;;;;;
2475;persévérer;;;;;;;;;;;;;;;;;;pErsèvèrè;pErsèvère;;;;;;pErsèvèrô;;pErsèvEr;;;;;;;;;pErsèvEr;;;;pErsèvEr;;;;;;;
2476;perturber;;;;;;;;;;;;;;;;;;;pErtyrbe;;;;;;;;pErtyrb;;;;;;;pErtyrb6rè;;pErtyrb;;;;pErtyrb;;;;;;;
2477;pervertir;;;;;;;;;;;;;;;;;;;pErvErtir;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2478;peser;;;;;;p6za;;pèz6rè;;;;pèz6ra;p6zjô;;;p6zè;p6zè;p6zè;p6ze;;;;;;p6zô;p6ze;pEz;p6zâ;;pèz6rè;;pèz6rè;;pèz6rè;p6zô;pEz;;pEz;pEz;pEz;;;;;;;
2479;pester;;;;;;pEsta;;;;;;;;;;;;pEstè;;;;;;;;;;;;;;;;;;;;pEst;pEst;pEst;;;;;;;
2480;peupler;;;;;;;;;;;;;;;;;p6plè;;p6ple;;;;;;;;p9pl;;;;;;;p6pl6rè;;;;;p9pl;p9pl;;;;;;;
2481;philosopher;;;;;;;;;;;;;;;;;;;filòzòfe;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2482;photocopier;;;;;;;;;;;;;;;;;;;fòtòkòpje;;;;;;;;;;;;;;;;;fòtòkòpi;;;;fòtòkòpi;;;;;;;
2483;photographier;;;;;;;;;;;;;;;;;;fòtògrafjè;fòtògrafje;;;;;;;;fòtògrafi;;;;;;;;;fòtògrafi;;;;fòtògrafi;;;;;;;
2484;phraser;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;fraz;;;;;;;
2485;piaffer;;;;;;;;;;;;;;;;;;pjafè;;;;;;;;;;pjafâ;;;;;;;;pjaf;;;pjaf;;;;;;;;
2486;piailler;;;;;pjajEr;;;;;;;;;;;;pjajè;;pjaje;;;;;;;;;pjajâ;;;;;;;;;;;pjaj;pjaj;;;;;;;
2487;pianoter;;;;;;pjanòta;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2488;piauler;;;;;;;;;;;;;;;;;pjòlè;;pjòle;;;;;;;;;pjòlâ;;;;;;;;;;;;;;;;;;;
2489;picoler;;;;;;;;;;;;;;pikòlè;;;;;pikòle;;;;;;;;pikOl;;;;;;;pikòl6rè;;pikOl;;pikOl;;pikOl;;;;;;;
2490;picorer;;;;;;pikòra;;;;;;;;;;;;;pikòre;;;;;;;;;;;;;;;;;pikOr;pikòre;;;;;;;;;;
2491;picoter;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;pikOt;;;;;;;
2492;piffer;;;;;;;;;;;;;;;;;;;pife;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2493;piger;;;;;;;;;;;;;;;;;;piZè;piZe;;;;;;piZô;piZe;piZ;;;;;;;;piZô;piZ;piZe;piZ;;piZ;;;;;piZ;;
2494;piler;;;;;;;;;;;;;;;;;;;pile;;;;;;;;pil;;;;;;;;;;;;;pil;;;;;;;
2495;piller;;;;;;;;;;;pij6rô;;;;;;;pijè;pije;;;;;;;pije;pij;pijâ;;;;;;;;pij;;;pij;pij;;;;;;;
2496;pilonner;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;pilòn;;;;;;;;
2497;piloter;;;;;;;;;;;;;;pilòtè;;pilòtè;;pilòtè;pilòte;;;;;;;pilòte;pilOt;;;;;;;pilòt6rè;;pilOt;;pilOt;;pilOt;;;;;;;
2498;pimenter;;;;;;;;;;;;;;;;;;;pimâte;;;;;;;;pimât;;;;;;;;;pimât;;;;;;;;;;;
2499;pinailler;;;;;;;;;;;;;;;;;;;pinaje;;;;;;;;;;;;;;;;;pinaj;;;;;;;;;;;
2500;pincer;;;;;;pêsa;;;;;;;;;;;pêsè;pêsè;pêse;;;;;;;;pês;pêsâ;;;;;;;;pês;pêse;pês;pês;pês;;;;;;;
2501;pinter;;;;;;;;;;;;;;;;;;;pête;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2502;piocher;;;;;;;;;;;;;;;;;;pjòSè;pjòSe;;;;;;;pjòSe;;;;;;;;;;;;;;;;;;;;;
2503;pioncer;;;;;;;;;;;;;;;;;;pjôsè;pjôse;;;;;;;;;;;;;;;;;;;;pjôs;pjôs;;;;;;;
2504;piper;;;;;;;;;;;;;;;;;;;pipe;;;;;;;;;;;;;;;;;pip;;;;;;;;;;;
2505;pique-niquer;;;;;;;;;;;;;;;;;;;pik6nike;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2506;piquer;;;;;;pika;;pik6rè;;;;;;pikè;pikje;pikè;pikè;pikè;pike;;;;;;;pike;pik;pikâ;;;;;;pik6rè;pikô;pik;pike;pik;pik;pik;;;;;;;pik
2507;piqueter;;;;;;;;;;;;;;;;;;pik6tè;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2508;pirouetter;;;;;;pirwèta;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;pirwEt;;;;;;;;;
2509;pisser;;;;;;pisa;;;;;;pis6ra;;pisè;;pisè;;pisè;pise;;;;;;;;pis;pisâ;;;;;;;;pis;pise;pis;pis;pis;;;;;;;
2510;pister;;;;;;;;;;;;;;;;;;;piste;;;;;;;;;;;;;;;;;pist;;;;pist;;;;;;;
2511;pivoter;;;;;;;;;;;;;;;;;pivòtè;pivòtè;pivòte;;;;;;;;pivOt;pivòtâ;;;;;;;;pivOt;;;;pivOt;;;;;;;
2512;piéger;;;;;;;;pjèZ6rè;;;;;;;;;;pjèZè;pjèZe;;;;;;;;pjEZ;;;;;;;;;;;;;pjEZ;;;;;;;pjEZ
2513;piéter;;;;;;;;;;;;;;;;;;;;;;;;;;;;pjètâ;;;;;;;;;;;;;;;;;;;
2514;piétiner;;;;;pjètinEr;pjètina;;;;;;;;;;;pjètinè;pjètinè;pjètine;;;;;;;;pjètin;pjètinâ;;;;;;;;pjètin;;;pjètin;pjètin;;;;;;;
2515;placarder;;;;;;;;;;;;;;;;;;plakardè;;;;;;;;;plakard;;;;;;;;;plakard;;;;;;;;;;;
2516;placer;;;;;;plasa;;plas6rè;plas6re;;;;;;;plasè;;plasè;plase;;;;;;plasô;plase;plas;plasâ;;;;;;plas6rè;;plas;plase;plas;plas;plas;;;;;;;
2517;plafonner;;;;;;;;;;;;;;;;;;;;;;;;;;;plafòn;;;;;;;;;;;;;;;;;;;;
2518;plagier;;;;;;;;;;;;;;;;;;;;;;;;;;;;plaZjâ;;;;;;;;plaZi;;;;;;;;;;;
2519;plaider;;plèdè;;;;plèda;plèd6rô;plèd6rè;;;;plèd6ra;;plèdè;plèdje;;;;plède;;;;;;plèdô;plède;plEd;;;;;;;;;plEd;plède;plEd;;plEd;;;;;;;
2520;plaindre;;;;;;plèJi;;plêdrè;;;;;;plèJè;;plèJè;plèJè;plèJè;plêdr;;;;;plèJi;plèJô;plèJe;plê;plèJâ;;plêdrè;;;plêdrè;;plèJô;plê;plèJe;plê;plEJ;plê;;;plEJ;;;;plEJ
2521;plaire;;ply;;ply;plyr;ply;;;plère;;plèrô;plèra;plèzjô;plèzè;;plèzè;plèzè;plèzè;plEr;;;;;ply;;;plè;plèzâ;;plèrè;plèrje;plèrè;;plèrè;;plè;plèze;plè;plEz;plè;;;plEz;;;;plEz
2522;plaisanter;;;;;;plèzâta;;;;;;;;plèzâtè;plèzâtje;plèzâtè;plèzâtè;plèzâtè;plèzâte;;;;;;plèzâtô;plèzâte;plèzât;plèzâtâ;;;;;;;;plèzât;plèzâte;plèzât;;plèzât;;;;;;;plèzât
2523;plancher;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;plâS;;;;plâS;;;;;;;
2524;planer;;;;;;;;;;;plan6rô;;;;;planè;planè;planè;plane;;;;;;;;;planâ;;;;;;;;plan;plane;plan;plan;plan;;;;;;;plan
2525;planifier;;;;;;;;;;;;;;;;;;planifjè;planifje;;;;;;;;planifi;;;;;;;;;;;;;planifi;;;;;;;
2526;planquer;;;;;;;;plâk6rè;;;;;;;;;;;plâke;;;;;;plâkô;plâke;plâk;;;;;;;;;plâk;plâke;plâk;plâk;plâk;;;;;;;
2527;planter;;;;;plâtEr;plâta;plât6rô;plât6rè;;;plât6rô;;plâtjô;plâtè;;plâtè;plâtè;plâtè;plâte;;;;;;;plâte;plât;plâtâ;;plât6rè;;;;;;plât;plâte;;;plât;;;;;;;
2528;plaquer;;plakè;;;;plaka;;;;;;;;;;plakè;;plakè;plake;;;;;;;plake;plak;plakâ;;;;;;;;plak;;;plak;plak;;;;;;;
2529;plastiquer;;;;;;;;;;;;;;;;;;;;;;;;;;;plastik;;;;;;;;;;;;;;;;;;;;
2530;plastronner;;;;;;;;;;;;;;;;;;;plastròne;;;;;;;;;;;;;;;;;;;;;plastròn;;;;;;;
2531;pleurer;;;;;;pl6ra;;pl6r6rè;pl6r6re;pl6r6ra;pl6r6rô;pl6r6ra;pl6rjô;pl6rè;;pl6rè;pl6rè;pl6rè;pl6re;;;;;pl6ra;pl6rô;pl6re;pl9r;pl6râ;;pl6r6rè;;pl6r6rè;;pl6r6rè;;pl9r;pl6re;pl9r;pl9r;pl9r;;pl6rjô;;;;pl9r;pl9r
2532;pleurnicher;;;;;;pl9rniSa;;;;;;;;;;pl9rniSè;;;pl9rniSe;;;;;;;;pl9rniS;pl9rniSâ;;;;;;;;pl9rniS;pl9rniSe;pl9rniS;;pl9rniS;;;;;;;
2533;pleuvoir;;;;;;;;;;;;pl6vra;;;;;pl6vè;pl6vè;pl6vwar;;;;;;;;;;;;;;;;;;;;pl9v;pl2;;;;;;;pl9v
2534;plier;;pljè;;;;plja;;;;;;;;pliè;;;pliè;pliè;plie;;;;;;;plie;pli;pliâ;;;;;plirè;;;pli;plie;;pli;pli;;;;;;;pli
2535;plisser;;;;;plisEr;plisa;;;;;;;;;;;plisè;;;;;;;;;;plis;plisâ;;;;;;;;;;;plis;plis;;;;;;;
2536;plomber;;;;;;;;;;;;;;;;;;;plôbe;;;;;;;;plôb;;;;;;;;;;;plôb;;plôb;;;;;;;
2537;plonger;;;;;;plôZa;;plôZ6rè;;;plôZ6rô;plôZ6ra;;plôZè;plôZje;plôZè;plôZè;plôZè;plôZe;;;;;;;plôZe;plôZ;plôZâ;;plôZ6rè;;;;plôZ6rè;;plôZ;plôZe;plôZ;plôZ;plôZ;;;plôZ;;;;plôZ
2538;ployer;;;;;;;;;;;;;;;;;plwajè;;plwaje;;;;;;;;;plwajâ;;;;;;;;;;;plwa;plwa;;;;;;;
2539;plucher;;;;;;;;;;;;;;;;;;;;;;;;;;;plyS;;;;;;;;;;;;;plyS;;;;;;;
2540;plumer;;;;;;;;;;;;;;;;;;plymè;plyme;;;;;;;;;plymâ;;;;;;;;plym;;;;;;;;;;;
2541;poignarder;;;;;;;;;;;;;;;;;pwaJardè;;pwaJarde;;;;;;;;pwaJard;pwaJardâ;;;;;;;;pwaJard;;;;pwaJard;;;;;;;
2542;poiler;;;;;;;;;;;;;;;;;;pwalè;;;;;;;;;;pwalâ;;;;;;;;;;;;;;;;;;;
2543;poindre;;;;;;;;;;;;;;;;;;;pwêdr;;;;;;;;;;;;;;;;;;;;;pwê;;;;;;;
2544;pointer;;;;;pwêtEr;pwêta;;;;;;pwêt6ra;;;;pwêtè;pwêtè;pwêtè;pwête;;;;;;;pwête;pwêt;pwêtâ;;;;;pwêt6rè;pwêt6rè;;pwêt;pwête;pwêt;pwêt;pwêt;;;;;;;
2545;poinçonner;;;;;;;;;;;;;;;;;;pwêsònè;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2546;poireauter;;;;;;;;;;;;;;;;;;;pwaròte;;;;;;;;;;;;;;;;;;;;;pwarot;;;;;;;
2547;poisser;;;;;;;;;;;;;;;;;;;pwase;;;;;;;;pwas;;;;;;;;;;;;;pwas;;;;;;;
2548;poivrer;;;;;;pwavra;;;;;;;;pwavrè;;;;;;;;;;;;pwavre;pwavr;;;;;;;;;pwavr;;;;;;;;;;;
2549;policer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;pòlis;;;;pòlis;;;;;;;
2550;polir;;;;;;;;;;;;;;;;;;;pòlir;;;;;;;;;;;;;;;;;pòli;;pòli;;;;;;;;;
2551;polluer;;;;;;;;;;;;;;;;;;;pòlye;;;;;;;;;pòlyâ;;;;;;;;pòly;;;pòly;;;;;;;;
2552;pommer;;;;;;;;;;;;;;;;;;;;;;;;;;;pOm;;;;;;;;;;;;;pOm;;;;;pOm;;
2553;pomper;;;;;;;;;;;;;;;;;;;pôpe;;;;;;;pôpe;pôp;pôpâ;;;;;;;;pôp;;pôp;pôp;pôp;;;;;pôp;;
2554;pomponner;;;;;;;;;;;;;;;;;;;pôpòne;;;;;;;;pôpòn;;;;;;;;;;;;;;;;;;;;
2555;poncer;;;;;;;;;;;;;;;;;;pôsè;pôse;;;;;;;;pôs;;;;;;;;;pôs;;;;pôs;;;;;pôs;;
2556;ponctionner;;;;;;;;;;;;;;;;;;;pôksjòne;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2557;ponctuer;;;;;pôktyEr;;;;;;;;;;;;pôktyè;pôktyè;;;;;;;;;;pôktyâ;;;;;;;;pôkty;;;pôkty;pôkty;;;;;;;
2558;pondre;;;;;;;;pôdrè;;;;;;;;;;pôdè;pôdr;;;;;;;;pô;;;;;;;;;;;;;pô;;;;;;;
2559;pontifier;;;;;;;;;;;;;;;;;;pôtifjè;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2560;porter;;pOrtè;;;pOrtEr;pOrta;;pOrt6rè;pOrt6re;pOrt6ra;pOrt6rô;pOrt6ra;pOrtjô;pOrtè;pOrtje;pOrtè;pOrtè;pOrtè;pOrte;;;;;pOrta;pOrtô;pOrte;pOrt;pOrtâ;;pOrt6rè;;pOrt6rè;pOrt6rè;pOrt6rè;pOrtô;pOrt;pOrte;pOrt;pOrt;pOrt;;;pOrt;;pOrt;pOrt;pOrt
2561;poser;;pòzè;;;pòzEr;pòza;;pòz6rè;pòz6re;;pòz6rô;pòz6ra;;pòzè;;pòzè;pòzè;pòzè;pòze;;;;;pòza;pòzô;pòze;poz;pòzâ;;;;;;pòz6rè;pòzô;poz;pòze;poz;poz;poz;;;poz;;poz;;poz
2562;positionner;;;;;;;;;;;;;;;;;;;pòzisjòne;;;;;;;;pòzisjòn;;;;;;;;;pòzisjòn;;;;;;;;;;;
